okres,nazov_okresu,kraj2,nezam_celk,nezam_odch,vpm
101,Bratislava I,ba,4.279166666666667,-3.8308333333333326,0.2272748494327466
102,Bratislava II,ba,5.075,-3.0349999999999993,0.2272748494327466
103,Bratislava III,ba,5.041666666666667,-3.0683333333333325,0.2272748494327466
104,Bratislava IV,ba,5.251666666666667,-2.858333333333333,0.2272748494327466
105,Bratislava V,ba,4.0725,-4.0375,0.2272748494327466
106,Malacky,ba_okolie,5.6875,-2.4224999999999994,0.03726831317988701
107,Pezinok,ba_okolie,5.243333333333333,-2.8666666666666663,0.00347822027172136
108,Senec,ba_okolie,6.0633333333333335,-2.046666666666666,0.02643680844110369
201,Dunajská Streda,tt_okolie,6.5425,-1.5674999999999994,0.0206708996685186
202,Galanta,tt_okolie,4.74,-3.3699999999999997,0.03787525094542228
203,Hlohovec,tt_okolie,4.156666666666666,-3.9533333333333327,0.01623558522806853
204,Piešťany,tt_okolie,4.443333333333333,-3.666666666666666,0.01251225547411177
205,Senica,tt_okolie,7.4816666666666665,-0.6283333333333329,0.00587095569354311
206,Skalica,tt_okolie,4.754166666666666,-3.355833333333333,0.02571315187450394
207,Trnava,tt,4.511666666666667,-3.5983333333333327,0.04542695737429385
301,Bánovce nad Bebravou,tn_okolie,5.6691666666666665,-2.440833333333333,0.00398011111629861
302,Ilava,tn_okolie,4.308333333333334,-3.801666666666666,0.01367944348475652
303,Myjava,tn_okolie,4.574166666666667,-3.5358333333333327,0.00527568980811429
304,Nové Mesto nad Váhom,tn_okolie,4.601666666666667,-3.508333333333333,0.03227274849432746
305,Partizánske,tn_okolie,5.7299999999999995,-2.3799999999999994,0.00316307950884728
306,Považská Bystrica,tn_okolie,6.605,-1.5049999999999994,0.0176011952005229
307,Prievidza,tn_okolie,7.109166666666667,-1.0008333333333328,0.01813810168541948
308,Púchov,tn_okolie,5.005833333333333,-3.104166666666666,0.00685139362248471
309,Trenčín,tn,4.236666666666666,-3.8733333333333326,0.0289929501844157
401,Komárno,nr_okolie,8.120833333333334,0.010833333333333842,0.01275736495634716
402,Levice,nr_okolie,7.0675,-1.0424999999999993,0.01029459825388673
403,Nitra,nr,4.325833333333334,-3.7841666666666662,0.07213221905784584
404,Nové Zámky,nr_okolie,6.174166666666666,-1.9358333333333326,0.01762453896073579
405,Šaľa,nr_okolie,5.7275,-2.3824999999999994,0.00431859563938559
406,Topoľčany,nr_okolie,5.836666666666667,-2.2733333333333325,0.01750782015967131
407,Zlaté Moravce,nr_okolie,4.8549999999999995,-3.2549999999999994,0.00340818899108268
501,Bytča,za_okolie,7.6475,-0.46249999999999947,0.00208926653905411
502,Čadca,za_okolie,7.275833333333333,-0.8341666666666662,0.00814697231430038
503,Dolný Kubín,za_okolie,7.370833333333334,-0.739166666666666,0.00622111209673654
504,Kysucké Nové Mesto,za_okolie,7.640833333333333,-0.46916666666666623,0.0061627526962043
505,Liptovský Mikuláš,za_okolie,7.439166666666667,-0.6708333333333327,0.01060973901676082
506,Martin,za_okolie,5.645,-2.4649999999999994,0.0101895513329287
507,Námestovo,za_okolie,6.415,-1.6949999999999994,0.00898734768196461
508,Ružomberok,za_okolie,7.854166666666667,-0.25583333333333286,0.00438862692002427
509,Turčianske Teplice,za_okolie,7.95,-0.15999999999999934,0.00158737569447686
510,Tvrdošín,za_okolie,6.088333333333333,-2.021666666666666,0.00870722255940987
511,Žilina,za,5.689166666666667,-2.420833333333333,0.03607778140902936
601,Banská Bystrica,bb,5.125,-2.9849999999999994,0.01939866473691582
602,Banská Štiavnica,bb_okolie,9.016666666666667,0.9066666666666674,0.00176245389607357
603,Brezno,bb_okolie,8.924166666666666,0.8141666666666671,0.00252112610299267
604,Detva,bb_okolie,7.591666666666667,-0.5183333333333328,0.00150567253373173
605,Krupina,bb_okolie,8.89,0.7800000000000002,0.01595546010551379
606,Lučenec,bb_okolie,13.0025,4.892500000000001,0.0026028292637378
607,Poltár,bb_okolie,14.740833333333333,6.630833333333333,2.9179700266118e-4
608,Revúca,bb_okolie,22.25166666666667,14.141666666666667,0.00246276670246043
609,Rimavská Sobota,bb_okolie,21.9375,13.8275,0.00476212708343059
610,Veľký Krtíš,bb_okolie,11.424166666666666,3.314166666666667,0.00183248517671226
611,Zvolen,bb_okolie,5.810833333333333,-2.2991666666666664,0.00553247117045613
612,Žarnovica,bb_okolie,9.1125,1.0025000000000006,0.00417853307810822
613,Žiar nad Hronom,bb_okolie,6.458333333333333,-1.6516666666666662,0.00463373640225967
701,Bardejov,po_okolie,13.988333333333333,5.878333333333334,0.00810028479387459
702,Humenné,po_okolie,9.450833333333334,1.3408333333333338,0.00492553340492086
703,Kežmarok,po_okolie,19.464166666666667,11.354166666666668,0.00384004855502124
704,Levoča,po_okolie,11.859166666666667,3.7491666666666674,0.00113217237032541
705,Medzilaborce,po_okolie,16.3075,8.197500000000002,3.1514076287408e-4
706,Poprad,po_okolie,8.174166666666666,0.06416666666666722,0.01111162986133806
707,Prešov,po,9.525,1.415000000000001,0.00952425416686119
708,Sabinov,po_okolie,16.815,8.705,0.00245109482235398
709,Snina,po_okolie,11.2775,3.1675000000000004,0.00183248517671226
710,Stará Ľubovňa,po_okolie,9.905000000000001,1.7950000000000008,0.00398011111629861
711,Stropkov,po_okolie,14.343333333333334,6.233333333333334,0.00122554741117699
712,Svidník,po_okolie,14.856666666666667,6.746666666666667,0.0042485643587469
713,Vranov nad Topľou,po_okolie,17.174166666666668,9.064166666666667,0.00492553340492086
801,Gelnica,ke_okolie,13.425,5.315,0.00105046920958027
